"","address","charging","engineType","exterior","fuel","interior","name","smartPhoneRequired","vin","City","Longitude","Latitude","Altitude"
"52","W 6th St 919, 78703 Austin",NA,"CE","GOOD",100,"GOOD","FBV 4469","FALSE","WMEEJ3BA2FK802400","austin",-97.75352,30.271,0
"53","Woodbury Dr 3922, 78704 Austin",NA,"CE","GOOD",54,"GOOD","FBV 4425","FALSE","WMEEJ3BAXFK799584","austin",-97.76058,30.22351,0
"54","Willowrun Dr 3485, 78704 Austin",NA,"CE","GOOD",72,"GOOD","CSF 9065","FALSE","WMEEJ3BA0EK734533","austin",-97.75341,30.22581,0
"55","W 6th St 1887, 78703 Austin",NA,"CE","GOOD",72,"GOOD","CSF 9067","FALSE","WMEEJ3BA5EK734835","austin",-97.76629,30.27636,0
"56","Nueces St 2348, 78705 Austin",NA,"CE","GOOD",75,"GOOD","CZT 0915","FALSE","WMEEJ3BA5EK748606","austin",-97.74375,30.28725,0
"57","One Highland Center",NA,"CE","UNACCEPTABLE",100,"GOOD","CSF 8920","FALSE","WMEEJ3BA8EK733792","austin",-97.71164,30.32867,0
"58","Willow Hill Dr 2523, 78741 Austin",NA,"CE","GOOD",100,"GOOD","FHB 2844","FALSE","WMEEJ3BA0FK801990","austin",-97.72506,30.23319,0
"59","Webberville Rd 2256, 78702 Austin",NA,"CE","GOOD",69,"GOOD","FJC 9928","FALSE","WMEEJ3BA6FK801251","austin",-97.7163,30.26199,0
"60","Nueces St 1561, 78701 Austin",NA,"CE","GOOD",87,"GOOD","FGZ 8681","FALSE","WMEEJ3BA2FK802719","austin",-97.74484,30.27911,0
"61","Upson St 610, 78703 Austin",NA,"CE","GOOD",54,"GOOD","FHB 1680","FALSE","WMEEJ3BA6FK802237","austin",-97.77066,30.27878,0
"62","Sunny Ln 500, 78704 Austin",NA,"CE","GOOD",54,"GOOD","FGZ 8685","FALSE","WMEEJ3BA1FK803165","austin",-97.74347,30.25255,0
"63","Chicon St 634, 78702 Austin",NA,"CE","GOOD",66,"GOOD","CZT 1030","FALSE","WMEEJ3BA9EK748219","austin",-97.72249,30.26205,0
"64","Festival Beach Rd 1356, 78702 Austin",NA,"CE","GOOD",100,"GOOD","CYL 4640","FALSE","WMEEJ3BA8EK748731","austin",-97.73385,30.25285,0
"65","E 51st St 1755, 78723 Austin",NA,"CE","GOOD",51,"GOOD","FGZ 8626","FALSE","WMEEJ3BA6FK802495","austin",-97.69994,30.30188,0
"66","W 7th St 231, 78701 Austin",NA,"CE","GOOD",78,"GOOD","CSF 9200","FALSE","WMEEJ3BA4EK734941","austin",-97.74418,30.2694,0
"67","Juniper St 1253, 78702 Austin",NA,"CE","GOOD",66,"GOOD","FHB 2867","FALSE","WMEEJ3BA3FK802535","austin",-97.72728,30.26928,0
"68","Milton St W 283, 78704 Austin",NA,"CE","GOOD",48,"GOOD","FHB 2864","FALSE","WMEEJ3BA4FK802351","austin",-97.75267,30.24758,0
"69","The Parking Spot",NA,"CE","GOOD",100,"GOOD","FBV 4432","FALSE","WMEEJ3BA2FK799417","austin",-97.67598,30.22049,0
"70","The Parking Spot",NA,"CE","GOOD",100,"GOOD","CSG 2237","FALSE","WMEEJ3BA0EK736105","austin",-97.67598,30.22049,0
"71","East Ave 98, 78701 Austin",NA,"CE","GOOD",48,"GOOD","FBV 4376","FALSE","WMEEJ3BA9FK800031","austin",-97.7369,30.26097,0
"72","The Parking Spot",NA,"CE","GOOD",100,"GOOD","CK9 T304","FALSE","WMEEJ3BA8AK417836","austin",-97.67598,30.22049,0
"73","Newning Ave 1329, 78704 Austin",NA,"CE","GOOD",81,"GOOD","CSF 8924","FALSE","WMEEJ3BA1EK733228","austin",-97.74378,30.25003,0
"74","E 13th St 339, 78701 Austin",NA,"CE","GOOD",78,"GOOD","FGZ 8616","FALSE","WMEEJ3BA3FK802406","austin",-97.73738,30.27426,0
"75","Hardrock Canyon Apartments",NA,"CE","GOOD",100,"GOOD","FGZ 9138","FALSE","WMEEJ3BA5FK803136","austin",-97.75122,30.39674,0
"76","Ragsdale St 1431, 78723 Austin",NA,"CE","GOOD",54,"GOOD","CSG 1544","FALSE","WMEEJ3BA6EK734861","austin",-97.70808,30.2997,0
"77","Wells Fargo",NA,"CE","GOOD",57,"GOOD","CK9 T262","FALSE","WMEEJ3BA1AK418066","austin",-97.74378,30.21695,0
"78","Chicon St 1770, 78702 Austin",NA,"CE","GOOD",63,"GOOD","FJD 0196","FALSE","WMEEJ3BA9FK800532","austin",-97.72098,30.27849,0
"79","The Parking Spot",NA,"CE","GOOD",100,"GOOD","FBV 4476","FALSE","WMEEJ3BA3FK802826","austin",-97.67598,30.22049,0
"80","Willow Creek Dr 1962, 78741 Austin",NA,"CE","GOOD",93,"GOOD","FHB 2869","FALSE","WMEEJ3BAXFK802600","austin",-97.72878,30.23334,0
"81","Elizabeth St W 519, 78704 Austin",NA,"CE","GOOD",36,"GOOD","FHB 2828","FALSE","WMEEJ3BA6FK802772","austin",-97.75421,30.24981,0
"82","The Parking Spot",NA,"CE","GOOD",36,"GOOD","CSF 9060","FALSE","WMEEJ3BA8EK732917","austin",-97.67598,30.22049,0
"83","E 4th St 2691, 78702 Austin",NA,"CE","GOOD",72,"GOOD","FJC 9787","FALSE","WMEEJ3BA7FK802439","austin",-97.71241,30.25599,0
