"","name","Dist","Fuel","Time","startTime"
"185","FHB 2840",0,0,5,"2015-12-07 16:10:50"
"186","FHB 2840",7712,3,25,"2015-12-07 14:50:48"
"187","FHB 2840",1539,0,45.0333333333333,"2015-12-07 13:50:46"
"188","FGZ 8689",5346,0,20.0166666666667,"2015-12-08 12:21:49"
"189","FGZ 8689",0,0,135.2,"2015-12-08 10:06:37"
"190","FGZ 8689",4979,3,40.0333333333333,"2015-12-08 08:01:31"
"191","FGZ 8689",4232,0,30.0166666666667,"2015-12-07 17:40:52"
"192","FGZ 8689",2306,3,20.0166666666667,"2015-12-07 17:15:51"
"193","FGZ 8689",998,3,80.0333333333333,"2015-12-07 15:25:49"
"194","FGZ 8689",952,0,15,"2015-12-07 14:15:47"
"195","FGZ 8689",2295,3,25.0166666666667,"2015-12-07 13:50:46"
"196","CSF 9072",3904,3,30.0333333333333,"2015-12-08 07:36:30"
"197","FHB 1334",4249,0,20.0166666666667,"2015-12-08 10:11:37"
"198","FHB 1334",14405,0,40.0333333333333,"2015-12-07 23:01:07"
"199","FHB 1334",8980,0,30.0166666666667,"2015-12-07 19:10:55"
"200","FHB 1334",2627,0,45.0166666666667,"2015-12-07 17:35:52"
"201","FJC 9930",3624,0,30.05,"2015-12-08 12:51:51"
"202","FJC 9930",3724,0,15.0166666666667,"2015-12-08 08:46:33"
"203","FJC 9930",6207,3,40.0166666666667,"2015-12-07 18:20:53"
"204","FJC 9930",3033,9,65.0333333333333,"2015-12-07 16:25:50"
"205","FJC 9930",2765,3,15.0166666666667,"2015-12-07 15:05:48"
"206","FHB 2898",3272,0,40.05,"2015-12-08 12:16:48"
"207","FHB 2898",4573,0,45.05,"2015-12-08 10:26:38"
"208","FHB 2898",2233,3,15.0166666666667,"2015-12-08 09:31:35"
"209","FHB 2898",18162,0,30.0166666666667,"2015-12-08 07:06:29"
"210","FHB 2898",1429,0,30.0166666666667,"2015-12-07 23:11:08"
"211","FHB 2898",4228,3,50.0333333333333,"2015-12-07 17:15:51"
"212","FHB 2898",866,3,10,"2015-12-07 13:40:46"
"213","FFD 7841",3309,0,35.0333333333333,"2015-12-08 00:06:09"
"214","FFD 7841",5206,3,30.0166666666667,"2015-12-07 18:10:53"
"215","FGZ 8804",4398,0,15.0166666666667,"2015-12-08 10:16:37"
"216","FGZ 8804",3205,0,45.0166666666667,"2015-12-07 17:40:52"
"217","FGZ 8804",1294,0,15,"2015-12-07 14:50:48"
"218","FBV 4382",5921,0,35.0166666666667,"2015-12-08 09:21:35"
"219","FHB 0243",4153,3,30.0333333333333,"2015-12-08 10:51:39"
"220","FHB 0243",3981,0,30.0166666666667,"2015-12-07 18:25:53"
"221","CSG 1542",9129,0,35.0166666666667,"2015-12-08 09:21:35"
"222","CSG 1542",5924,3,35.0166666666667,"2015-12-07 18:35:54"
"223","CSG 1542",7191,0,25.0166666666667,"2015-12-07 16:15:50"
"224","CSG 1542",7240,3,35.0166666666667,"2015-12-07 15:15:48"
"225","CSG 1542",3904,0,10,"2015-12-07 14:15:47"
"226","FGZ 8809",6671,0,30.0166666666667,"2015-12-07 19:20:55"
"227","FHB 1332",5558,0,20.05,"2015-12-08 13:06:52"
"228","FHB 1332",5639,0,30.0166666666667,"2015-12-08 10:06:37"
"229","FHB 1332",1121,0,10,"2015-12-07 15:40:49"
"230","FHB 1332",948,3,25.0166666666667,"2015-12-07 14:30:47"
"231","FJD 0194",5447,0,15.0166666666667,"2015-12-08 09:11:34"
"232","FJD 0194",5316,0,35.0166666666667,"2015-12-07 21:56:05"
"233","FJD 0194",72,0,15.05,"2015-12-07 21:36:01"
"234","FJD 0194",0,0,5,"2015-12-07 20:40:57"
"235","FJD 0194",4600,0,260.116666666667,"2015-12-07 16:20:50"
"236","FJD 0193",1624,3,25.0166666666667,"2015-12-08 09:06:34"
"237","FBV 4470",770,0,30.0666666666667,"2015-12-08 11:26:42"
"238","FBV 4470",3391,0,15.0166666666667,"2015-12-08 08:41:33"
"239","FBV 4470",591,0,40.0166666666667,"2015-12-07 19:15:55"
"240","FBV 4470",649,0,5,"2015-12-07 13:55:47"
"241","FHB 1331",3135,3,15.0166666666667,"2015-12-08 09:46:36"
"242","FHB 1331",3673,0,35.0333333333333,"2015-12-08 07:16:29"
"243","FHB 1331",11083,0,25.0333333333333,"2015-12-08 06:36:27"
"244","FHB 1331",11244,6,85.05,"2015-12-07 17:10:51"
"245","FBV 4371",3674,3,25.0333333333333,"2015-12-08 12:31:49"
"246","FBV 4371",4564,0,40.0333333333333,"2015-12-08 09:21:35"
"247","FBV 4371",4367,0,15,"2015-12-07 19:20:55"
"248","FBV 4371",5673,3,15.0166666666667,"2015-12-07 18:50:54"
"249","FBV 4371",4136,3,30.0166666666667,"2015-12-07 18:20:53"
"250","FBV 4371",11188,3,50.0166666666667,"2015-12-07 17:20:52"
"251","CZS 9745",1203,0,10.0166666666667,"2015-12-08 12:16:48"
"252","FGZ 9139",3234,3,20.0333333333333,"2015-12-08 13:01:52"
"253","FGZ 9139",12931,0,25,"2015-12-07 23:46:09"
"254","FGZ 9139",16622,3,35.0333333333333,"2015-12-07 20:30:56"
"255","FGZ 9139",15673,0,30.0166666666667,"2015-12-07 15:45:49"
"256","CZT 0921",3889,0,20.0166666666667,"2015-12-08 11:36:45"
"257","CZT 1027",4786,0,15,"2015-12-08 06:41:28"
"258","CZT 1027",2114,3,15.0166666666667,"2015-12-08 06:06:26"
"259","CZT 1027",3436,0,15,"2015-12-07 14:40:48"
"260","FJC 9937",4427,3,30,"2015-12-07 18:30:54"
"261","FJC 9937",3144,0,30.0166666666667,"2015-12-07 18:00:53"
"262","FJC 9937",2192,0,30.0166666666667,"2015-12-07 17:25:52"
"263","FGZ 8625",1578,3,65.1,"2015-12-08 12:21:49"
"264","FGZ 8625",5748,0,15.0166666666667,"2015-12-08 08:11:32"
"265","FGZ 8625",9929,3,30.0166666666667,"2015-12-08 03:21:18"
"266","FGZ 8625",2667,0,20,"2015-12-07 19:50:56"
"267","FGZ 8625",7494,6,25.0166666666667,"2015-12-07 19:25:55"
"268","FGZ 8625",3428,0,25.0166666666667,"2015-12-07 18:05:53"
