"","address","charging","engineType","exterior","fuel","interior","name","smartPhoneRequired","vin","City","Longitude","Latitude","Altitude","Time....Sys.time.."
"3360","Patterson Ave 662, 78703 Austin",NA,"CE","GOOD",60,"GOOD","FJC 9929","FALSE","WMEEJ3BA0FK801293","austin",-97.76603,30.27735,0,2015-12-05 23:10:48
"3361","Stark St 803, 78756 Austin",NA,"CE","UNACCEPTABLE",15,"UNACCEPTABLE","FHB 2858","FALSE","WMEEJ3BA3FK801966","austin",-97.72684,30.32565,0,2015-12-05 23:10:48
"3362","E 4th St 463, 78701 Austin",NA,"CE","GOOD",100,"GOOD","FBV 4359","FALSE","WMEEJ3BA2FK799871","austin",-97.73935,30.26505,0,2015-12-05 23:10:48
"3363","Pruett St 2357, 78703 Austin",NA,"CE","GOOD",96,"GOOD","FGZ 8803","FALSE","WMEEJ3BA5FK801483","austin",-97.77217,30.28156,0,2015-12-05 23:10:48
"3364","Easy Wind Dr, 78752 Austin",NA,"CE","GOOD",36,"GOOD","FHB 0246","FALSE","WMEEJ3BA4FK802043","austin",-97.71855,30.33956,0,2015-12-05 23:10:48
"3365","Garden Villa Ln 3764, 78704 Austin",NA,"CE","GOOD",84,"GOOD","CSG 1099","FALSE","WMEEJ3BA5EK749142","austin",-97.77309,30.23102,0,2015-12-05 23:10:48
"3366","Nelray Blvd 531, 78751 Austin",NA,"CE","GOOD",96,"GOOD","CZT 1026","FALSE","WMEEJ3BA8EK748230","austin",-97.72522,30.32146,0,2015-12-05 23:10:48
"3367","Crossing Pl, 78741 Austin",NA,"CE","GOOD",57,"GOOD","FHB 2860","FALSE","WMEEJ3BA3FK802079","austin",-97.71133,30.24052,0,2015-12-05 23:10:48
"3368","Pedernales St 86, 78702 Austin",NA,"CE","GOOD",66,"GOOD","FHB 2863","FALSE","WMEEJ3BA3FK802325","austin",-97.71731,30.25326,0,2015-12-05 23:10:48
"3369","Onion St 624, 78702 Austin",NA,"CE","GOOD",57,"GOOD","CZT 0919","FALSE","WMEEJ3BA3EK748832","austin",-97.72746,30.26365,0,2015-12-05 23:10:48
"3370","Timbercreek Apartments",NA,"CE","GOOD",42,"GOOD","FFD 7840","FALSE","WMEEJ3BA2FK803210","austin",-97.75159,30.25617,0,2015-12-05 23:10:48
"3371","E 2nd St 1982, 78702 Austin",NA,"CE","GOOD",84,"GOOD","FBV 4364","FALSE","WMEEJ3BA5FK799606","austin",-97.72332,30.25776,0,2015-12-05 23:10:48
"3372","Sabine St 626, 78701 Austin",NA,"CE","GOOD",96,"UNACCEPTABLE","CYL 4629","FALSE","WMEEJ3BA6EK748789","austin",-97.73603,30.26645,0,2015-12-05 23:10:48
"3373","Josephine St 796, 78704 Austin",NA,"CE","GOOD",63,"GOOD","FJC 9926","FALSE","WMEEJ3BA2FK801196","austin",-97.76111,30.25813,0,2015-12-05 23:10:48
"3374","Wickersham Ln 2213, 78741 Austin",NA,"CE","GOOD",36,"GOOD","FHB 2827","FALSE","WMEEJ3BA9FK802670","austin",-97.72119,30.22967,0,2015-12-05 23:10:48
"3375","Brittany Blvd 1899, 78745 Austin",NA,"CE","GOOD",51,"GOOD","CSF 9191","FALSE","WMEEJ3BA5EK734706","austin",-97.79551,30.21606,0,2015-12-05 23:10:48
"3376","Town Creek Dr 1490, 78741 Austin",NA,"CE","GOOD",100,"GOOD","FGZ 8678","FALSE","WMEEJ3BA7FK802036","austin",-97.7271,30.242,0,2015-12-05 23:10:48
"3377","Campbell St 544, 78703 Austin",NA,"CE","GOOD",24,"GOOD","FGZ 8800","FALSE","WMEEJ3BA1FK801576","austin",-97.7645,30.27529,0,2015-12-05 23:10:48
"3378","Gibson St W 1143, 78704 Austin",NA,"CE","GOOD",24,"GOOD","FBV 4487","FALSE","WMEEJ3BA8FK803020","austin",-97.76145,30.25456,0,2015-12-05 23:10:48
"3379","Stark St 811, 78756 Austin",NA,"CE","GOOD",78,"GOOD","FBV 4423","FALSE","WMEEJ3BA5FK799685","austin",-97.72725,30.32585,0,2015-12-05 23:10:48
"3380","Longview St 2538, 78705 Austin",NA,"CE","GOOD",100,"GOOD","FBV 4369","FALSE","WMEEJ3BA7FK799204","austin",-97.75064,30.29037,0,2015-12-05 23:10:48
"3381","Humming Bird Ln 5576, 78745 Austin",NA,"CE","GOOD",69,"GOOD","FGZ 8846","FALSE","WMEEJ3BA4FK802883","austin",-97.77846,30.20737,0,2015-12-05 23:10:48
"3382","Capitol Metro Headquarters",NA,"CE","GOOD",33,"GOOD","FBV 4436","FALSE","WMEEJ3BA9FK799317","austin",-97.7099,30.25625,0,2015-12-05 23:10:48
"3383","E 6th St 1935, 78702 Austin",NA,"CE","GOOD",57,"GOOD","FBV 4429","FALSE","WMEEJ3BA3FK799474","austin",-97.7221,30.26146,0,2015-12-05 23:10:48
"3384","Lamar Square Dr 1355, 78704 Austin",NA,"CE","GOOD",87,"GOOD","CZS 9749","FALSE","WMEEJ3BA2EK748112","austin",-97.76361,30.25403,0,2015-12-05 23:10:48
"3385","The Canopy",NA,"CE","GOOD",51,"GOOD","FBV 4360","FALSE","WMEEJ3BA0FK799920","austin",-97.69811,30.26199,0,2015-12-05 23:10:48
"3386","Durwood St 2597, 78704 Austin",NA,"CE","GOOD",60,"GOOD","FBV 4431","FALSE","WMEEJ3BA4FK799435","austin",-97.75938,30.23866,0,2015-12-05 23:10:48
"3387","E 6th St 703, 78701 Austin",NA,"CE","GOOD",42,"GOOD","CSG 1543","FALSE","WMEEJ3BA7EK734643","austin",-97.7359,30.26613,0,2015-12-05 23:10:48
"3388","E 40th St 904, 78751 Austin",NA,"CE","UNACCEPTABLE",63,"UNACCEPTABLE","FGZ 8615","FALSE","WMEEJ3BA8FK802384","austin",-97.7224,30.29851,0,2015-12-05 23:10:48
"3389","Simond Ave 1909, 78723 Austin",NA,"CE","GOOD",15,"GOOD","FGZ 8810","FALSE","WMEEJ3BAXFK802189","austin",-97.70435,30.29689,0,2015-12-05 23:10:48
"3390","Annie St W 447, 78704 Austin",NA,"CE","GOOD",93,"GOOD","CSF 9064","FALSE","WMEEJ3BA2EK733819","austin",-97.7545,30.247,0,2015-12-05 23:10:48
"3391","Chicon St 1345, 78702 Austin",NA,"CE","GOOD",12,"GOOD","CSF 8925","FALSE","WMEEJ3BA6EK735329","austin",-97.72022,30.27549,0,2015-12-05 23:10:48
"3392","Rio Grande St 642, 78701 Austin",NA,"CE","GOOD",100,"GOOD","CSF 8929","FALSE","WMEEJ3BA9EK733333","austin",-97.74941,30.27038,0,2015-12-05 23:10:48
"3393","S 2nd St 1152, 78704 Austin",NA,"CE","GOOD",93,"GOOD","FBV 4393","FALSE","WMEEJ3BA2FK799241","austin",-97.75427,30.25353,0,2015-12-05 23:10:48
"3394","The Canopy",NA,"CE","GOOD",57,"GOOD","FHB 2839","FALSE","WMEEJ3BA0FK801603","austin",-97.69811,30.26199,0,2015-12-05 23:10:48
"3395","Town Lake Cir 2381, 78741 Austin",NA,"CE","GOOD",45,"GOOD","FHB 2841","FALSE","WMEEJ3BA3FK800946","austin",-97.72317,30.23896,0,2015-12-05 23:10:48
"3396","Powell St 550, 78703 Austin",NA,"CE","GOOD",75,"GOOD","FHB 2870","FALSE","WMEEJ3BA0FK802654","austin",-97.76231,30.27406,0,2015-12-05 23:10:48
"3397","Timbercreek Apartments",NA,"CE","GOOD",72,"GOOD","CSF 9066","FALSE","WMEEJ3BA9EK733235","austin",-97.75159,30.25617,0,2015-12-05 23:10:48
"3398","Stassney Woods - 1800 E Stassney Lane - 2 Spaces",NA,"CE","GOOD",100,"GOOD","FBV 4467","FALSE","WMEEJ3BA7FK801727","austin",-97.76107,30.19734,0,2015-12-05 23:10:48
"3399","Lamar Square Dr 1352, 78704 Austin",NA,"CE","GOOD",63,"GOOD","CZT 0995","FALSE","WMEEJ3BA8EK748163","austin",-97.76461,30.25442,0,2015-12-05 23:10:48
"3400","Angelina St 1158, 78702 Austin",NA,"CE","GOOD",45,"GOOD","CZT 0922","FALSE","WMEEJ3BA0EK748416","austin",-97.72449,30.26954,0,2015-12-05 23:10:48
"3401","Woodrow Ave 5774, 78756 Austin",NA,"CE","GOOD",100,"GOOD","FHB 2843","FALSE","WMEEJ3BA3FK801840","austin",-97.73237,30.32971,0,2015-12-05 23:10:48
"3402","Alvin, 78703 Austin",NA,"CE","GOOD",66,"GOOD","FBV 4427","FALSE","WMEEJ3BA0FK799514","austin",-97.77453,30.27954,0,2015-12-05 23:10:48
"3403","Glendale Pl 2176, 78704 Austin",NA,"CE","UNACCEPTABLE",100,"UNACCEPTABLE","FHB 2854","FALSE","WMEEJ3BA4FK800020","austin",-97.74336,30.23686,0,2015-12-05 23:10:48
"3404","Lambie St 727, 78701 Austin",NA,"CE","GOOD",45,"GOOD","FBV 4492","FALSE","WMEEJ3BA8FK802630","austin",-97.73829,30.25648,0,2015-12-05 23:10:48
"3405","Elmont Dr 2290, 78741 Austin",NA,"CE","GOOD",54,"GOOD","CZT 0916","FALSE","WMEEJ3BA5EK748332","austin",-97.72348,30.24073,0,2015-12-05 23:10:48
"3406","Newning Ave 1078, 78704 Austin",NA,"CE","GOOD",72,"GOOD","FGZ 8625","FALSE","WMEEJ3BA2FK802588","austin",-97.74439,30.253,0,2015-12-05 23:10:48
"3407","Oltorf St W 1277, 78704 Austin",NA,"CE","GOOD",42,"GOOD","FJC 9937","FALSE","WMEEJ3BA3FK801790","austin",-97.76923,30.24532,0,2015-12-05 23:10:48
"3408","W 30th St 535, 78705 Austin",NA,"CE","GOOD",100,"GOOD","CZT 1027","FALSE","WMEEJ3BA9EK748267","austin",-97.74149,30.2962,0,2015-12-05 23:10:48
"3409","Garden St 2253, 78702 Austin",NA,"CE","GOOD",66,"GOOD","CZT 0921","FALSE","WMEEJ3BA1EK748814","austin",-97.72123,30.25277,0,2015-12-05 23:10:48
"3410","SL Davis Ave 2220, 78702 Austin",NA,"CE","GOOD",69,"GOOD","FGZ 9139","FALSE","WMEEJ3BA5FK800396","austin",-97.71578,30.27125,0,2015-12-05 23:10:48
"3411","W 8th St 579, 78701 Austin",NA,"CE","GOOD",100,"GOOD","CZS 9745","FALSE","WMEEJ3BA0EK748643","austin",-97.74752,30.27142,0,2015-12-05 23:10:48
"3412","E 4th St 439, 78701 Austin",NA,"CE","UNACCEPTABLE",54,"GOOD","FBV 4361","FALSE","WMEEJ3BA6FK799503","austin",-97.73965,30.265,0,2015-12-05 23:10:48
"3413","E 11th St 1493, 78702 Austin",NA,"CE","GOOD",90,"GOOD","FBV 4371","FALSE","WMEEJ3BAXFK798502","austin",-97.72507,30.26764,0,2015-12-05 23:10:48
"3414","Crestview Station",NA,"CE","GOOD",33,"GOOD","FHB 1331","FALSE","WMEEJ3BA8FK801171","austin",-97.71947,30.33886,0,2015-12-05 23:10:48
"3415","Hether St 1461, 78704 Austin",NA,"CE","GOOD",100,"GOOD","FJD 0193","FALSE","WMEEJ3BA5FK802133","austin",-97.76798,30.24975,0,2015-12-05 23:10:48
"3416","Randolph Rd 3444, 78722 Austin",NA,"CE","GOOD",27,"GOOD","FHB 1332","FALSE","WMEEJ3BAXFK801057","austin",-97.71138,30.28706,0,2015-12-05 23:10:48
"3417","Oakmont Blvd 3476, 78703 Austin",NA,"CE","GOOD",18,"GOOD","FGZ 8809","FALSE","WMEEJ3BA8FK802093","austin",-97.75442,30.30826,0,2015-12-05 23:10:48
"3418","Crestview Station",NA,"CE","GOOD",27,"GOOD","CSG 1542","FALSE","WMEEJ3BA2EK733240","austin",-97.71947,30.33886,0,2015-12-05 23:10:48
"3419","Jones Rd 1975, 78745 Austin",NA,"CE","GOOD",36,"GOOD","FHB 0243","FALSE","WMEEJ3BA2FK799983","austin",-97.79388,30.22063,0,2015-12-05 23:10:48
"3420","Barrow Ave 4264, 78751 Austin",NA,"CE","GOOD",100,"GOOD","FGZ 9137","FALSE","WMEEJ3BA1FK802176","austin",-97.72531,30.30395,0,2015-12-05 23:10:48
"3421","Arpdale St 2463, 78704 Austin",NA,"CE","GOOD",27,"GOOD","FBV 4382","FALSE","WMEEJ3BA8FK799325","austin",-97.78231,30.25054,0,2015-12-05 23:10:48
"3422","The Parking Spot",NA,"CE","UNACCEPTABLE",15,"GOOD","FJC 9782","FALSE","WMEEJ3BA4FK802690","austin",-97.67598,30.22049,0,2015-12-05 23:10:48
"3423","Red River St 1444, 78701 Austin",NA,"CE","GOOD",24,"GOOD","FGZ 8804","FALSE","WMEEJ3BA6FK800374","austin",-97.73516,30.27514,0,2015-12-05 23:10:48
"3424","Valleyridge Cir 1447, 78704 Austin",NA,"CE","GOOD",87,"GOOD","FFD 7841","FALSE","WMEEJ3BA6FK803145","austin",-97.77805,30.23366,0,2015-12-05 23:10:48
"3425","Valley View Rd 3976, 78704 Austin",NA,"CE","GOOD",33,"UNACCEPTABLE","FHB 2898","FALSE","WMEEJ3BA3FK799989","austin",-97.78408,30.23249,0,2015-12-05 23:10:48
"3426","E 18th St 2266, 78702 Austin",NA,"CE","GOOD",100,"GOOD","FJC 9930","FALSE","WMEEJ3BA4FK801328","austin",-97.71743,30.27924,0,2015-12-05 23:10:48
"3427","La Casa Dr 2309, 78704 Austin",NA,"CE","GOOD",18,"GOOD","FHB 1334","FALSE","WMEEJ3BAXFK800541","austin",-97.78225,30.2488,0,2015-12-05 23:10:48
"3428","Leon St 2242, 78705 Austin",NA,"CE","GOOD",100,"GOOD","FBV 4370","FALSE","WMEEJ3BAXFK798967","austin",-97.74951,30.28675,0,2015-12-05 23:10:48
"3429","E 51st St 1757, 78723 Austin",NA,"CE","GOOD",84,"GOOD","CZT 0918","FALSE","WMEEJ3BA1EK748196","austin",-97.69855,30.30273,0,2015-12-05 23:10:48
"3430","Willow Hill Dr 2400, 78741 Austin",NA,"CE","GOOD",87,"GOOD","CSF 9072","FALSE","WMEEJ3BA5EK734575","austin",-97.72598,30.23378,0,2015-12-05 23:10:48
"3431","E 9th St 2464, 78702 Austin",NA,"CE","GOOD",57,"GOOD","FHB 2840","FALSE","WMEEJ3BA4FK801815","austin",-97.71503,30.26465,0,2015-12-05 23:10:48
"3432","Ullrich Ave 1556, 78756 Austin",NA,"CE","GOOD",45,"GOOD","CZS 9746","FALSE","WMEEJ3BA2EK748448","austin",-97.73453,30.33171,0,2015-12-05 23:10:48
"3433","Treadwell St 1252, 78704 Austin",NA,"CE","GOOD",100,"GOOD","CYL 4638","FALSE","WMEEJ3BA7EK748932","austin",-97.76101,30.25591,0,2015-12-05 23:10:48
"3434","S 1st St 722, 78704 Austin",NA,"CE","GOOD",33,"GOOD","FBV 4424","FALSE","WMEEJ3BA1FK799635","austin",-97.75185,30.25594,0,2015-12-05 23:10:48
"3435","Skyway Cir 2874, 78704 Austin",NA,"CE","GOOD",100,"GOOD","FHB 2859","FALSE","WMEEJ3BA4FK801975","austin",-97.7828,30.2448,0,2015-12-05 23:10:48
"3436","Dean Keaton and Whitis",NA,"CE","GOOD",33,"GOOD","CK9 T292","FALSE","WMEEJ3BA0AK417619","austin",-97.74003,30.28978,0,2015-12-05 23:10:48
"3437","W St Johns Ave 885, 78752 Austin",NA,"CE","GOOD",54,"GOOD","FGZ 8687","FALSE","WMEEJ3BA5FK802746","austin",-97.7192,30.33994,0,2015-12-05 23:10:48
"3438","W Ben White Blvd 2008, 78704 Austin",NA,"CE","GOOD",66,"GOOD","FJC 9932","FALSE","WMEEJ3BA0FK801441","austin",-97.78819,30.23065,0,2015-12-05 23:10:48
"3439","San Antonio St 1240, 78701 Austin",NA,"CE","GOOD",48,"GOOD","CZT 1031","FALSE","WMEEJ3BA3EK748152","austin",-97.74495,30.27565,0,2015-12-05 23:10:48
"3440","The Parking Spot",NA,"CE","GOOD",45,"GOOD","FBV 4475","FALSE","WMEEJ3BA0FK803125","austin",-97.67598,30.22049,0,2015-12-05 23:10:48
