"","lat","lon","name"
"276",30.35193,-97.74955,"CSF 9069"
"277",30.35212,-97.75026,"CSF 9069"
"278",30.35242,-97.75097,"CSF 9069"
"279",30.3526,-97.75133,"CSF 9069"
"280",30.35316,-97.75247,"CSF 9069"
"281",30.35346,-97.75312,"CSF 9069"
"282",30.35455,-97.75246,"CSF 9069"
"283",30.35583,-97.75166,"CSF 9069"
"284",30.25473,-97.71779,"FBV 4383"
"285",30.25528,-97.71942,"FBV 4383"
"286",30.25574,-97.72071,"FBV 4383"
"287",30.25643,-97.72269,"FBV 4383"
"288",30.25712,-97.72464,"FBV 4383"
"289",30.25852,-97.72867,"FBV 4383"
"290",30.25955,-97.7316,"FBV 4383"
"291",30.26012,-97.73325,"FBV 4383"
"292",30.26083,-97.73528,"FBV 4383"
"293",30.26112,-97.73603,"FBV 4383"
"294",30.26118,-97.73627,"FBV 4383"
"295",30.2612,-97.73654,"FBV 4383"
"296",30.26121,-97.73673,"FBV 4383"
"297",30.26153,-97.73786,"FBV 4383"
"298",30.26198,-97.73947,"FBV 4383"
"299",30.26256,-97.74163,"FBV 4383"
"300",30.26318,-97.7438,"FBV 4383"
"301",30.26338,-97.74455,"FBV 4383"
"302",30.26388,-97.74436,"FBV 4383"
"303",30.26432,-97.7442,"FBV 4383"
"304",30.26451,-97.74488,"FBV 4383"
"305",30.26469,-97.74553,"FBV 4383"
"306",30.26475,-97.74574,"FBV 4383"
"307",30.26478,-97.74586,"FBV 4383"
"308",30.26478,-97.74586,"FBV 4383"
"309",30.2649,-97.74628,"FBV 4383"
"310",30.26498,-97.7466,"FBV 4383"
"311",30.26532,-97.74647,"FBV 4383"
"312",30.26574,-97.74632,"FBV 4383"
"313",30.26687,-97.7459,"FBV 4383"
"314",30.26873,-97.74521,"FBV 4383"
"315",30.26932,-97.74736,"FBV 4383"
"316",30.26994,-97.74952,"FBV 4383"
"317",30.27025,-97.75059,"FBV 4383"
"318",30.27049,-97.75129,"FBV 4383"
"319",30.27058,-97.75151,"FBV 4383"
"320",30.27096,-97.75252,"FBV 4383"
"321",30.27133,-97.75344,"FBV 4383"
"322",30.27209,-97.75542,"FBV 4383"
"323",30.27289,-97.75759,"FBV 4383"
"324",30.27326,-97.75855,"FBV 4383"
"325",30.27364,-97.75957,"FBV 4383"
"326",30.27439,-97.76151,"FBV 4383"
"327",30.27482,-97.76263,"FBV 4383"
