"","address","charging","engineType","exterior","fuel","interior","name","smartPhoneRequired","vin","City","Longitude","Latitude","Altitude"
"208","Simond Ave 1909, 78723 Austin",NA,"CE","GOOD",15,"GOOD","FGZ 8810","FALSE","WMEEJ3BAXFK802189","austin",-97.70435,30.29689,0
"209","Annie St W 447, 78704 Austin",NA,"CE","GOOD",93,"GOOD","CSF 9064","FALSE","WMEEJ3BA2EK733819","austin",-97.7545,30.247,0
"210","Hill Wood Dr 891, 78745 Austin",NA,"CE","GOOD",12,"GOOD","CSF 8925","FALSE","WMEEJ3BA6EK735329","austin",-97.78142,30.21592,0
"211","E 10th St 357, 78701 Austin",NA,"CE","GOOD",100,"GOOD","CSF 8929","FALSE","WMEEJ3BA9EK733333","austin",-97.73842,30.2709,0
"212","S 2nd St 1152, 78704 Austin",NA,"CE","GOOD",93,"GOOD","FBV 4393","FALSE","WMEEJ3BA2FK799241","austin",-97.75427,30.25353,0
"213","The Canopy",NA,"CE","GOOD",57,"GOOD","FHB 2839","FALSE","WMEEJ3BA0FK801603","austin",-97.69811,30.26199,0
"214","Town Lake Cir 2381, 78741 Austin",NA,"CE","GOOD",45,"GOOD","FHB 2841","FALSE","WMEEJ3BA3FK800946","austin",-97.72317,30.23896,0
"215","Powell St 550, 78703 Austin",NA,"CE","GOOD",75,"GOOD","FHB 2870","FALSE","WMEEJ3BA0FK802654","austin",-97.76231,30.27406,0
"216","E Oltorf St 4944, 78741 Austin",NA,"CE","UNACCEPTABLE",36,"UNACCEPTABLE","CSG 2238","FALSE","WMEEJ3BA1EK734993","austin",-97.7215,30.223,0
"217","Timbercreek Apartments",NA,"CE","GOOD",72,"GOOD","CSF 9066","FALSE","WMEEJ3BA9EK733235","austin",-97.75159,30.25617,0
"218","Stassney Woods - 1800 E Stassney Lane - 2 Spaces",NA,"CE","GOOD",100,"GOOD","FBV 4467","FALSE","WMEEJ3BA7FK801727","austin",-97.76107,30.19734,0
"219","Lamar Square Dr 1352, 78704 Austin",NA,"CE","GOOD",63,"GOOD","CZT 0995","FALSE","WMEEJ3BA8EK748163","austin",-97.76461,30.25442,0
"220","Angelina St 1158, 78702 Austin",NA,"CE","GOOD",45,"GOOD","CZT 0922","FALSE","WMEEJ3BA0EK748416","austin",-97.72449,30.26954,0
"221","West Anderson Plaza",NA,"CE","GOOD",78,"GOOD","FHB 1329","FALSE","WMEEJ3BA6FK801671","austin",-97.73253,30.35717,0
"222","Woodrow Ave 5774, 78756 Austin",NA,"CE","GOOD",100,"GOOD","FHB 2843","FALSE","WMEEJ3BA3FK801840","austin",-97.73237,30.32971,0
"223","Alvin, 78703 Austin",NA,"CE","GOOD",66,"GOOD","FBV 4427","FALSE","WMEEJ3BA0FK799514","austin",-97.77453,30.27954,0
"224","Robbins Pl 1972, 78705 Austin",NA,"CE","GOOD",66,"GOOD","CZT 1029","FALSE","WMEEJ3BA8EK748373","austin",-97.74937,30.28513,0
