"","lat","lon","startTime","name"
"113",30.24742,-97.77415,"2015-12-07 20:35:57","CSF 9069"
"114",30.24763,-97.77279,"2015-12-07 20:35:57","CSF 9069"
"115",30.24783,-97.77211,"2015-12-07 20:35:57","CSF 9069"
"116",30.24835,-97.77024,"2015-12-07 20:35:57","CSF 9069"
"117",30.24819,-97.76989,"2015-12-07 20:35:57","CSF 9069"
"118",30.24781,-97.76977,"2015-12-07 20:35:57","CSF 9069"
"119",30.24771,-97.76973,"2015-12-07 20:35:57","CSF 9069"
"120",30.24655,-97.76926,"2015-12-07 20:35:57","CSF 9069"
"121",30.24558,-97.77162,"2015-12-07 20:35:57","CSF 9069"
"122",30.2455,-97.77175,"2015-12-07 20:35:57","CSF 9069"
"123",30.24383,-97.77282,"2015-12-07 20:35:57","CSF 9069"
"124",30.24383,-97.77282,"2015-12-08 01:21:13","CSF 9069"
"125",30.24383,-97.77282,"2015-12-08 08:31:33","CSF 9069"
"126",30.2455,-97.77175,"2015-12-08 08:31:33","CSF 9069"
"127",30.24558,-97.77162,"2015-12-08 08:31:33","CSF 9069"
"128",30.24655,-97.76926,"2015-12-08 08:31:33","CSF 9069"
"129",30.24771,-97.76973,"2015-12-08 08:31:33","CSF 9069"
"130",30.24781,-97.76977,"2015-12-08 08:31:33","CSF 9069"
"131",30.24843,-97.76997,"2015-12-08 08:31:33","CSF 9069"
"132",30.24856,-97.76945,"2015-12-08 08:31:33","CSF 9069"
"133",30.24873,-97.76895,"2015-12-08 08:31:33","CSF 9069"
"134",30.24906,-97.76814,"2015-12-08 08:31:33","CSF 9069"
"135",30.24951,-97.76729,"2015-12-08 08:31:33","CSF 9069"
"136",30.24969,-97.767,"2015-12-08 08:31:33","CSF 9069"
"137",30.25003,-97.7665,"2015-12-08 08:31:33","CSF 9069"
"138",30.25047,-97.76594,"2015-12-08 08:31:33","CSF 9069"
"139",30.25081,-97.76557,"2015-12-08 08:31:33","CSF 9069"
"140",30.25168,-97.7647,"2015-12-08 08:31:33","CSF 9069"
"141",30.25282,-97.76362,"2015-12-08 08:31:33","CSF 9069"
"142",30.25332,-97.7632,"2015-12-08 08:31:33","CSF 9069"
"143",30.25344,-97.76311,"2015-12-08 08:31:33","CSF 9069"
"144",30.25471,-97.76229,"2015-12-08 08:31:33","CSF 9069"
"145",30.25563,-97.76174,"2015-12-08 08:31:33","CSF 9069"
"146",30.25604,-97.76149,"2015-12-08 08:31:33","CSF 9069"
"147",30.25666,-97.7611,"2015-12-08 08:31:33","CSF 9069"
"148",30.25705,-97.76077,"2015-12-08 08:31:33","CSF 9069"
"149",30.25758,-97.76015,"2015-12-08 08:31:33","CSF 9069"
"150",30.25775,-97.75991,"2015-12-08 08:31:33","CSF 9069"
"151",30.25814,-97.75947,"2015-12-08 08:31:33","CSF 9069"
"152",30.25827,-97.75938,"2015-12-08 08:31:33","CSF 9069"
"153",30.25855,-97.75922,"2015-12-08 08:31:33","CSF 9069"
"154",30.2589,-97.75907,"2015-12-08 08:31:33","CSF 9069"
"155",30.25905,-97.75902,"2015-12-08 08:31:33","CSF 9069"
"156",30.25954,-97.75895,"2015-12-08 08:31:33","CSF 9069"
"157",30.26017,-97.75877,"2015-12-08 08:31:33","CSF 9069"
"158",30.2603,-97.75873,"2015-12-08 08:31:33","CSF 9069"
"159",30.26072,-97.75857,"2015-12-08 08:31:33","CSF 9069"
"160",30.26087,-97.75845,"2015-12-08 08:31:33","CSF 9069"
"161",30.26134,-97.75827,"2015-12-08 08:31:33","CSF 9069"
"162",30.26147,-97.75823,"2015-12-08 08:31:33","CSF 9069"
"163",30.26182,-97.75807,"2015-12-08 08:31:33","CSF 9069"
"164",30.26263,-97.75777,"2015-12-08 08:31:33","CSF 9069"
"165",30.26292,-97.75767,"2015-12-08 08:31:33","CSF 9069"
"166",30.26405,-97.75721,"2015-12-08 08:31:33","CSF 9069"
"167",30.26453,-97.75706,"2015-12-08 08:31:33","CSF 9069"
"168",30.26466,-97.75701,"2015-12-08 08:31:33","CSF 9069"
"169",30.26485,-97.75694,"2015-12-08 08:31:33","CSF 9069"
"170",30.26496,-97.75694,"2015-12-08 08:31:33","CSF 9069"
"171",30.265,-97.75693,"2015-12-08 08:31:33","CSF 9069"
"172",30.26503,-97.75691,"2015-12-08 08:31:33","CSF 9069"
"173",30.26644,-97.75634,"2015-12-08 08:31:33","CSF 9069"
